what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1312166407459
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1312166410667
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1312166411215
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1312166411218
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1312166411233
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1312166411234
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312166414358
started,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1312166414434
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1312166414438
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312166417509
executed,command,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.launchShortcut.run",1312166417574
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312166418258
error,log,,,"Could not publish server configuration for Tomcat v7.0 Server at localhost.",1312166418310
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312166420823
activated,view,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui.ServersView",1312166423017
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1312166424541
activated,editor,org.maven.ide.eclipse.editor,0.12.1.20110112-1712,"org.maven.ide.eclipse.editor.MavenPomEditor",1312166455366
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312166455397
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312166456303
activated,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1312166457110
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312166459105
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312166460450
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1312166461781
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1312166462093
activated,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1312166464002
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1312166479192
activated,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1312166485985
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1312166508225
activated,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1312166508371
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1312166508372
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1312166509974
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1312166509983
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1312166509989
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312166545740
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312166546736
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1312166546745
activated,view,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui.ServersView",1312166551507
executed,command,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.publish",1312166555475
error,log,,,"Could not publish server configuration for Tomcat v7.0 Server at localhost.",1312166555551
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312166556107
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312166557161
executed,command,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.stop",1312166559046
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1312166559883
activated,view,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui.ServersView",1312166561335
executed,command,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.publish",1312166564578
error,log,,,"Could not publish server configuration for Tomcat v7.0 Server at localhost.",1312166564616
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312166565217
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312166576379
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312166582202
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312166586534
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1312166589077
activated,view,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui.ServersView",1312166592835
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312166595901
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312166598706
executed,command,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.run",1312166601022
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1312166602189
activated,view,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui.ServersView",1312166604618
